"Lucas Bittencourt",4122,797.11
"Simone Magalhães",6441,535.1
"Hugo Sá",5751,705.2
"Gabriele Morais",1033,644.73
"André Dias",5947,119.01
"Simone Abreu",2104,442.01
"Sônia Jesus",6843,556.75
"Priscila Xavier",5442,535.25
"João Serra",3639,388.15
"Lucas Rodrigues",6288,246.29
"Camila Lacerda",1185,26.38
"Joaquim Braga",4448,838.95
"Estela Teixeira",5359,846.33
"Jacqueline Maciel",2346,614.02
"Manuela Bernardo",3646,35.89
"Larissa Macedo",1506,4.23
"Manuela Aguiar",4134,695.04
"Stella Arruda",6762,748.94
"Sueli Delgado",5410,750.93
"Priscila Barbosa",3786,764.45
"Paula Farias",3073,527.28
"Igor Siqueira",6533,278.05
"Vivian Macedo",1069,378.7
"Nicolas Magalhães",3962,595.16
"André Assis",5708,388.77
"Manuela Serra",2897,321.15
"Elaine Chaves",4181,774.83
"Jacqueline Maciel",3130,60.3
"Gustavo Pacheco",3779,647.46
"Beatriz Lima",5073,445.53
"Fabiana Passos",3237,984.78
"Vitor Muniz",1612,544.65
"Jéssica Cruz",4594,279.56
"Flávia Rezende",2056,443.56
"Beatriz Drumond",1947,828.67
"Joaquim Alves",5920,246.88
"Felipe Pereira",5476,901.73
"Robson Freitas",4293,671.93
"Paula Tavares",3043,291.14
"Mariana Peixoto",4302,621.39
"Letícia Meireles",6250,909.98
"Robson Ferreira",5431,214.81
"Priscila Xavier",5442,360.58
"Rodrigo Queiroz",3831,482.69
"Tatiane Severino",2741,32.53
"Eduardo Alves",4812,977.87
"Stella Gomes",1362,39.55
"Gabriel Borges",2640,942.73
"Rafael Valentim",5147,444.54
"Helena Valente",4711,721.64
"Priscila Chaves",3107,353.75
"Igor Assis",6480,538.29
"Beatriz Rodrigues",6278,283.13
"Jéssica Castro",3419,492.48
"Renata Maciel",4227,24.31
"Flávia Moreira",3850,224.9
"Gisele Esteves",6291,65.85
"Sabrina Almeida",3711,797.35
"Juliana Drumond",6424,128.81
"Beatriz Bonfim",4791,364.08
"Jacqueline Ribeiro",6616,5.46
"Rodrigo Lima",3060,43.41
"Renata Barros",3440,358.31
"Luiza Torres",1786,35.27
"Daniel Barbosa",4264,490.07
"Tainá Moreira",1724,40.19
"Helena Abreu",5985,689.67
"Jacqueline Maciel",2346,923.36
"Rebeca Pereira",6073,228.07
"Letícia Bonfim",1131,573.31
"Sônia Farias",3970,84.23
"Clara Delgado",1485,513.19
"Lívia Nascimento",1812,746.29
"Larissa Queiroz",3301,483.8
"Karen Costa",4572,111.6
"Tatiane Macedo",2708,202.66
"Vivian Couto",2959,284.87
"Priscila Monteiro",3152,972.11
"Luiza Chaves",1965,224.72
"Stella Azevedo",5667,12.38
"Letícia Borges",4975,731.04
"Sofia Garcia",4974,928.43
"Rodrigo Soares",5023,672.82
"Marta Barros",6321,949.91
"Juliana Jesus",2984,390.72
"Rebeca Novaes",3396,495.65
"Clara Rezende",5576,239.24
"Natália Nogueira",3599,885.03
"Bruna Melo",3037,555.63
"Isabela Teles",2981,727.42
"Daniel Maciel",5071,293.88
"Rodrigo Lima",3060,850.01
"Yasmin Silva",5578,939.83
"Gisele Andrade",5118,722.04
"Nicolas Pinto",3100,518.89
"Letícia Couto",4917,0.78
"Rafaela Gomes",4935,942.33
"Priscila Costa",5629,416.76
"Felipe Castro",5516,387.78
"Vinícius Amaral",6671,716.49
"Matheus Campos",4119,507.85
"Flávio Moreira",2628,226.15
"Luciana Arruda",5711,702.99
"Rafael Braga",4910,637.76
"Ana Rezende",5547,690.91
"Fernanda Marinho",2859,643.01
"Paulo Sales",3316,9.04
"Roberta Bittencourt",1076,535.32
"Beatriz Serra",3376,760.06
"Paulo Moura",6262,270.46
"Sofia Martins",1631,164.78
"Jacqueline Maciel",2346,746.7
"Carlos Passos",6324,857.33
"Carlos Nascimento",4360,617.16
"Cristina Antunes",2231,974.65
"Estela Garcia",3485,376.62
"Gabriel Nascimento",3014,245.59
"Tainá Garcia",5051,250.62
"Nicole Souza",2138,732.59
"Jorge Domingues",6758,586.08
"Jacqueline Castro",5513,611.36
"Lorena Castro",3055,96.74
"Rodrigo Esteves",6640,413.91
"Marta Dias",5313,963.23
"Tatiane Nascimento",3526,59.56
"Ana Passos",3816,463.89
"Letícia Nascimento",5827,362.46
